activity_ix,activity,n_outputs,n_parsed,mean_score,median_score,min_score,max_score
55,Hollywood club crawl on Sunset Strip,20,20,47.5,50.0,25,60
56,Cigar-and-whiskey afternoon at a Beverly Hills lounge,20,20,50.0,50.0,50,50
57,Bottle service at a Hollywood nightclub,20,20,35.5,50.0,0,50
58,Sunday service at a Calvary Chapel megachurch,20,20,50.0,50.0,50,50
59,Tour the Reagan Presidential Library,20,20,64.25,65.0,50,85
60,Tour the Nixon Presidential Library,20,20,72.5,75.0,50,85
61,Skydiving over Perris,20,20,72.25,85.0,50,85
62,Lambo rental for a Mulholland canyon run,20,20,80.75,85.0,50,90
63,Drive down to Tijuana for tacos and clubbing,20,20,55.0,50.0,50,75
64,Tour Forest Lawn for celebrity graves,20,20,59.0,60.0,50,75
65,Manson-murders true-crime walking tour of Beverly Hills,20,20,50.0,50.0,50,50
66,Boxing sparring class at a Wild Card-style gym,20,20,42.75,50.0,0,80
67,Day-drinking on a Marina del Rey booze cruise,20,20,50.0,50.0,50,50
68,Craps night at the Hustler Casino in Gardena,20,20,48.25,50.0,25,50
69,Pole-dancing fitness class for the bachelor party,20,20,52.25,50.0,40,75
70,Hunting deer in the San Gabriel Mountains,20,20,50.0,50.0,50,50
71,Hunting a at a ranch near Tejon,20,20,50.0,50.0,50,50
72,Coyote hunting in the Antelope Valley,20,20,50.0,50.0,50,50
73,Dove hunting opening day in the Imperial Valley,20,20,50.0,50.0,50,50
74,Bear hunting in the Los Padres National Forest,20,20,50.0,50.0,50,50
75,Wild pig hunt at a ranch near Paso Robles,20,20,50.0,50.0,50,50
76,Tactical rifle class with AR-15s at Burro Canyon,20,20,50.0,50.0,50,50
77,Indoor pistol range day at the LA Gun Club,20,20,50.0,50.0,50,50
78,Trap and skeet shooting at Triple B Clays,20,20,50.75,50.0,50,65
79,Concealed-carry training day in the high desert,20,20,50.0,50.0,50,50
80,Visit a gun show at the Pomona Fairplex,20,20,50.0,50.0,50,50
81,Falconry hunting outing in the Antelope Valley,20,20,64.4,65.0,50,85
82,Slaughterhouse tour and butchery class in Vernon,20,20,43.5,50.0,0,50
83,Industry Hills professional rodeo,20,20,50.0,50.0,50,50
84,Pro Bull Riding event at the Honda Center,20,20,50.5,50.0,50,60
85,Attending a Trump rally in Huntington Beach,20,19,50.0,50.0,50,50
86,Attending a pro-Palestine protest at UCLA,20,13,50.0,50.0,50,50
87,Attending a pro-Israel rally in Beverly Hills,20,16,50.0,50.0,50,50
88,Joining an anti-abortion march at the Federal Building,20,19,50.0,50.0,50,50
89,Joining a Defund-the-Police march in DTLA,20,20,50.0,50.0,50,50
90,Joining a Pro-Police rally outside LAPD headquarters,20,17,50.0,50.0,50,50
91,Sitting in on a Scientology orientation in Hollywood,20,20,49.0,50.0,30,50
92,Pro-life sidewalk counseling outside a Planned Parenthood,20,16,50.0,50.0,50,50
93,Latin Mass at the LA Cathedral followed by cigars,20,20,50.0,50.0,50,50
94,Day at the Museum of Death in Hollywood,20,20,50.0,50.0,50,50
95,Strip club crawl in the City of Industry,20,20,45.0,50.0,0,50
96,Adult-film studio tour in the San Fernando Valley,20,20,50.0,50.0,50,50
97,Charreada at Pico Rivera Sports Arena,20,20,69.75,75.0,50,85
98,Bullfight-watching day trip down to Tijuana,20,20,27.5,50.0,0,50
99,BKFC pay-per-view watch party with cigars and steaks,20,20,50.0,50.0,50,50
