activity_ix,activity,n_outputs,n_parsed,mean_score,median_score,min_score,max_score
73,Dove hunting opening day in the Imperial Valley,20,20,13.75,15.0,10,20
74,Bear hunting in the Los Padres National Forest,20,20,2.5,0.0,0,10
75,Wild pig hunt at a ranch near Paso Robles,20,20,10.3,8.0,5,35
76,Tactical rifle class with AR-15s at Burro Canyon,20,20,26.75,22.5,15,50
77,Indoor pistol range day at the LA Gun Club,20,20,32.25,35.0,20,55
78,Trap and skeet shooting at Triple B Clays,20,20,45.8,45.0,35,62
79,Concealed-carry training day in the high desert,20,20,38.85,35.0,20,55
80,Visit a gun show at the Pomona Fairplex,20,20,28.1,25.0,12,50
81,Falconry hunting outing in the Antelope Valley,20,20,38.2,35.0,25,72
82,Slaughterhouse tour and butchery class in Vernon,20,20,9.45,8.0,5,20
83,Industry Hills professional rodeo,20,20,30.25,35.0,20,35
84,Pro Bull Riding event at the Honda Center,20,20,32.7,30.0,20,62
85,Attending a Trump rally in Huntington Beach,20,20,39.0,50.0,10,50
86,Attending a pro-Palestine protest at UCLA,20,20,50.75,50.0,50,65
87,Attending a pro-Israel rally in Beverly Hills,20,20,50.25,50.0,50,55
88,Joining an anti-abortion march at the Federal Building,20,20,47.5,50.0,0,50
89,Joining a Defund-the-Police march in DTLA,20,20,50.5,50.0,50,60
90,Joining a Pro-Police rally outside LAPD headquarters,20,20,48.0,50.0,0,55
91,Sitting in on a Scientology orientation in Hollywood,20,20,31.75,35.0,18,42
92,Pro-life sidewalk counseling outside a Planned Parenthood,20,20,31.5,35.0,0,50
93,Latin Mass at the LA Cathedral followed by cigars,20,20,45.85,45.0,35,55
94,Day at the Museum of Death in Hollywood,20,20,45.3,43.5,28,62
95,Strip club crawl in the City of Industry,20,20,10.5,10.0,0,20
96,Adult-film studio tour in the San Fernando Valley,20,20,27.75,25.0,10,50
97,Charreada at Pico Rivera Sports Arena,20,20,58.25,58.0,35,75
98,Bullfight-watching day trip down to Tijuana,20,20,3.5,5.0,0,5
99,BKFC pay-per-view watch party with cigars and steaks,20,20,31.0,30.0,20,50
