activity_ix,activity,n_outputs,n_parsed,mean_score,median_score,min_score,max_score
82,Slaughterhouse tour and butchery class in Vernon,20,20,10.95,12.0,5,20
83,Industry Hills professional rodeo,20,20,33.4,35.0,18,58
84,Pro Bull Riding event at the Honda Center,20,20,33.55,35.0,25,38
85,Attending a Trump rally in Huntington Beach,20,20,41.5,50.0,15,50
86,Attending a pro-Palestine protest at UCLA,20,20,51.5,50.0,50,65
87,Attending a pro-Israel rally in Beverly Hills,20,20,50.0,50.0,50,50
88,Joining an anti-abortion march at the Federal Building,20,20,43.5,50.0,0,50
89,Joining a Defund-the-Police march in DTLA,20,20,50.0,50.0,50,50
90,Joining a Pro-Police rally outside LAPD headquarters,20,20,47.75,50.0,0,55
91,Sitting in on a Scientology orientation in Hollywood,20,20,33.35,35.0,22,45
92,Pro-life sidewalk counseling outside a Planned Parenthood,20,20,25.75,20.0,0,50
93,Latin Mass at the LA Cathedral followed by cigars,20,20,45.95,45.0,35,55
94,Day at the Museum of Death in Hollywood,20,20,47.1,43.5,25,62
95,Strip club crawl in the City of Industry,20,20,13.4,10.0,5,50
96,Adult-film studio tour in the San Fernando Valley,20,20,31.0,25.0,10,50
97,Charreada at Pico Rivera Sports Arena,20,20,59.85,60.0,45,72
98,Bullfight-watching day trip down to Tijuana,20,20,3.5,5.0,0,10
99,BKFC pay-per-view watch party with cigars and steaks,20,20,28.1,25.0,25,35
