activity_ix,activity,n_outputs,n_parsed,mean_score,median_score,min_score,max_score
53,Spearfishing trip at Catalina,20,20,48.75,45.0,35,76
54,MMA pay-per-view watch party with cigars and whiskey,20,20,35.2,31.0,25,60
55,Hollywood club crawl on Sunset Strip,20,20,32.35,27.5,20,60
56,Cigar-and-whiskey afternoon at a Beverly Hills lounge,20,20,32.45,30.0,20,52
57,Bottle service at a Hollywood nightclub,20,20,24.2,20.0,15,40
58,Sunday service at a Calvary Chapel megachurch,20,20,47.0,45.0,35,62
59,Tour the Reagan Presidential Library,20,20,69.25,68.0,62,78
60,Tour the Nixon Presidential Library,20,20,71.65,72.0,65,78
61,Skydiving over Perris,20,20,64.95,66.5,50,78
62,Lambo rental for a Mulholland canyon run,20,20,45.7,41.0,25,72
63,Drive down to Tijuana for tacos and clubbing,20,20,44.55,36.5,30,72
64,Tour Forest Lawn for celebrity graves,20,20,57.15,58.0,45,65
65,Manson-murders true-crime walking tour of Beverly Hills,20,20,38.8,40.0,30,50
66,Boxing sparring class at a Wild Card-style gym,20,20,40.25,35.0,25,65
67,Day-drinking on a Marina del Rey booze cruise,20,20,37.0,30.0,30,65
68,Craps night at the Hustler Casino in Gardena,20,20,33.55,30.0,25,45
69,Pole-dancing fitness class for the bachelor party,20,20,55.0,55.0,35,72
70,Hunting deer in the San Gabriel Mountains,20,20,26.0,25.0,15,45
71,Hunting a at a ranch near Tejon,20,20,26.0,25.0,10,50
72,Coyote hunting in the Antelope Valley,20,20,18.9,20.0,10,30
73,Dove hunting opening day in the Imperial Valley,20,20,28.2,25.0,20,45
74,Bear hunting in the Los Padres National Forest,20,20,14.45,13.5,8,25
75,Wild pig hunt at a ranch near Paso Robles,20,20,26.9,25.0,15,45
76,Tactical rifle class with AR-15s at Burro Canyon,20,20,39.1,36.5,25,68
77,Indoor pistol range day at the LA Gun Club,20,20,41.15,38.0,30,62
78,Trap and skeet shooting at Triple B Clays,20,20,49.65,45.0,35,72
79,Concealed-carry training day in the high desert,20,20,42.2,40.0,30,60
80,Visit a gun show at the Pomona Fairplex,20,20,38.4,36.5,25,58
81,Falconry hunting outing in the Antelope Valley,20,20,63.05,63.5,55,75
82,Slaughterhouse tour and butchery class in Vernon,20,20,45.85,42.0,30,70
83,Industry Hills professional rodeo,20,20,35.5,35.0,20,52
84,Pro Bull Riding event at the Honda Center,20,20,37.85,38.0,30,52
85,Attending a Trump rally in Huntington Beach,20,20,40.5,40.0,30,50
86,Attending a pro-Palestine protest at UCLA,20,20,38.4,36.5,20,50
87,Attending a pro-Israel rally in Beverly Hills,20,20,42.15,50.0,25,50
88,Joining an anti-abortion march at the Federal Building,20,20,41.75,50.0,20,50
89,Joining a Defund-the-Police march in DTLA,20,20,40.25,37.5,25,50
90,Joining a Pro-Police rally outside LAPD headquarters,20,20,36.8,35.0,25,50
91,Sitting in on a Scientology orientation in Hollywood,20,20,51.7,52.5,38,62
92,Pro-life sidewalk counseling outside a Planned Parenthood,20,20,31.0,25.0,20,50
93,Latin Mass at the LA Cathedral followed by cigars,20,20,59.0,59.0,35,78
94,Day at the Museum of Death in Hollywood,20,20,44.5,41.0,30,60
95,Strip club crawl in the City of Industry,20,20,16.6,15.0,5,35
96,Adult-film studio tour in the San Fernando Valley,20,20,28.35,30.0,15,50
97,Charreada at Pico Rivera Sports Arena,20,20,60.05,60.0,35,72
98,Bullfight-watching day trip down to Tijuana,20,20,10.0,10.0,8,18
99,BKFC pay-per-view watch party with cigars and steaks,20,20,32.75,30.0,20,60
