activity_ix,activity,n_outputs,n_parsed,mean_score,median_score,min_score,max_score
62,Lambo rental for a Mulholland canyon run,20,20,52.3,62.0,20,74
63,Drive down to Tijuana for tacos and clubbing,20,20,59.3,59.0,45,72
64,Tour Forest Lawn for celebrity graves,20,20,58.95,58.0,42,68
65,Manson-murders true-crime walking tour of Beverly Hills,20,20,31.55,35.0,18,42
66,Boxing sparring class at a Wild Card-style gym,20,20,38.6,35.0,25,62
67,Day-drinking on a Marina del Rey booze cruise,20,20,34.2,35.0,18,50
68,Craps night at the Hustler Casino in Gardena,20,20,34.2,35.0,20,42
69,Pole-dancing fitness class for the bachelor party,20,20,68.0,72.0,50,82
70,Hunting deer in the San Gabriel Mountains,20,20,10.65,10.0,5,25
71,Hunting a at a ranch near Tejon,20,20,9.6,10.0,5,20
72,Coyote hunting in the Antelope Valley,20,20,5.95,5.0,0,15
73,Dove hunting opening day in the Imperial Valley,20,20,16.0,15.0,5,25
74,Bear hunting in the Los Padres National Forest,20,20,2.35,0.0,0,10
75,Wild pig hunt at a ranch near Paso Robles,20,20,11.0,5.0,5,35
76,Tactical rifle class with AR-15s at Burro Canyon,20,20,34.15,27.5,15,55
77,Indoor pistol range day at the LA Gun Club,20,20,33.25,32.5,20,55
78,Trap and skeet shooting at Triple B Clays,20,20,47.7,45.0,35,62
79,Concealed-carry training day in the high desert,20,20,37.7,35.0,18,62
80,Visit a gun show at the Pomona Fairplex,20,20,30.75,30.0,20,50
81,Falconry hunting outing in the Antelope Valley,20,20,38.45,35.0,25,62
82,Slaughterhouse tour and butchery class in Vernon,20,20,12.15,10.0,5,20
83,Industry Hills professional rodeo,20,20,30.4,32.5,15,45
84,Pro Bull Riding event at the Honda Center,20,20,30.8,30.0,25,38
85,Attending a Trump rally in Huntington Beach,20,20,48.0,50.0,10,50
86,Attending a pro-Palestine protest at UCLA,20,20,50.0,50.0,50,50
87,Attending a pro-Israel rally in Beverly Hills,20,20,50.0,50.0,50,50
88,Joining an anti-abortion march at the Federal Building,20,20,47.5,50.0,0,50
89,Joining a Defund-the-Police march in DTLA,20,20,50.25,50.0,50,55
90,Joining a Pro-Police rally outside LAPD headquarters,20,20,50.0,50.0,50,50
91,Sitting in on a Scientology orientation in Hollywood,20,20,30.4,35.0,15,35
92,Pro-life sidewalk counseling outside a Planned Parenthood,20,20,19.25,10.0,0,50
93,Latin Mass at the LA Cathedral followed by cigars,20,20,47.35,45.0,35,65
94,Day at the Museum of Death in Hollywood,20,20,43.9,42.0,28,62
95,Strip club crawl in the City of Industry,20,20,17.25,15.0,0,50
96,Adult-film studio tour in the San Fernando Valley,20,20,33.35,35.0,12,50
97,Charreada at Pico Rivera Sports Arena,20,20,56.2,58.0,38,74
98,Bullfight-watching day trip down to Tijuana,20,20,4.4,5.0,0,8
99,BKFC pay-per-view watch party with cigars and steaks,20,20,30.3,25.0,20,50
