activity_ix,activity,n_outputs,n_parsed,mean_score,median_score,min_score,max_score
82,Slaughterhouse tour and butchery class in Vernon,20,20,9.2,8.0,5,20
83,Industry Hills professional rodeo,20,20,34.85,35.0,18,45
84,Pro Bull Riding event at the Honda Center,20,20,35.45,35.0,18,68
85,Attending a Trump rally in Huntington Beach,20,20,29.0,20.0,0,50
86,Attending a pro-Palestine protest at UCLA,20,20,51.0,50.0,0,70
87,Attending a pro-Israel rally in Beverly Hills,20,20,44.5,50.0,10,50
88,Joining an anti-abortion march at the Federal Building,20,20,35.0,50.0,0,50
89,Joining a Defund-the-Police march in DTLA,20,20,43.0,50.0,0,70
90,Joining a Pro-Police rally outside LAPD headquarters,20,20,40.0,50.0,0,50
91,Sitting in on a Scientology orientation in Hollywood,20,20,24.5,25.0,12,35
92,Pro-life sidewalk counseling outside a Planned Parenthood,20,20,20.25,0.0,0,50
93,Latin Mass at the LA Cathedral followed by cigars,20,20,44.5,50.0,15,65
94,Day at the Museum of Death in Hollywood,20,20,34.9,35.0,12,62
95,Strip club crawl in the City of Industry,20,20,11.5,12.5,0,20
96,Adult-film studio tour in the San Fernando Valley,20,20,21.75,20.0,5,50
97,Charreada at Pico Rivera Sports Arena,20,20,61.8,62.0,45,75
98,Bullfight-watching day trip down to Tijuana,20,20,2.0,0.0,0,5
99,BKFC pay-per-view watch party with cigars and steaks,20,20,39.15,43.5,18,45
