activity_ix,activity,n_outputs,n_parsed,mean_score,median_score,min_score,max_score
65,Manson-murders true-crime walking tour of Beverly Hills,20,20,34.65,35.0,20,42
66,Boxing sparring class at a Wild Card-style gym,20,20,41.0,40.0,25,60
67,Day-drinking on a Marina del Rey booze cruise,20,20,37.5,35.0,25,62
68,Craps night at the Hustler Casino in Gardena,20,20,34.15,35.0,15,55
69,Pole-dancing fitness class for the bachelor party,20,20,51.1,55.0,30,65
70,Hunting deer in the San Gabriel Mountains,20,20,26.95,25.0,15,45
71,Hunting a at a ranch near Tejon,20,20,25.25,25.0,15,35
72,Coyote hunting in the Antelope Valley,20,20,18.4,15.0,5,30
73,Dove hunting opening day in the Imperial Valley,20,20,30.8,27.5,20,55
74,Bear hunting in the Los Padres National Forest,20,20,16.4,18.0,5,28
75,Wild pig hunt at a ranch near Paso Robles,20,20,29.35,25.0,15,65
76,Tactical rifle class with AR-15s at Burro Canyon,20,20,40.65,35.0,25,70
77,Indoor pistol range day at the LA Gun Club,20,20,40.5,39.0,30,60
78,Trap and skeet shooting at Triple B Clays,20,20,46.55,45.0,35,68
79,Concealed-carry training day in the high desert,20,20,48.6,45.0,30,65
80,Visit a gun show at the Pomona Fairplex,20,20,40.55,39.0,30,55
81,Falconry hunting outing in the Antelope Valley,20,20,67.1,68.0,55,80
82,Slaughterhouse tour and butchery class in Vernon,20,20,42.55,41.0,30,60
83,Industry Hills professional rodeo,20,20,33.8,35.0,25,45
84,Pro Bull Riding event at the Honda Center,20,20,33.25,35.0,15,45
85,Attending a Trump rally in Huntington Beach,20,20,31.5,30.0,15,50
86,Attending a pro-Palestine protest at UCLA,20,20,38.5,40.0,25,50
87,Attending a pro-Israel rally in Beverly Hills,20,20,38.25,35.0,20,50
88,Joining an anti-abortion march at the Federal Building,20,20,41.25,40.0,20,50
89,Joining a Defund-the-Police march in DTLA,20,20,42.0,47.5,0,50
90,Joining a Pro-Police rally outside LAPD headquarters,20,20,35.5,30.0,25,50
91,Sitting in on a Scientology orientation in Hollywood,20,20,41.8,40.0,30,58
92,Pro-life sidewalk counseling outside a Planned Parenthood,20,20,27.9,22.5,15,50
93,Latin Mass at the LA Cathedral followed by cigars,20,20,59.65,59.0,40,73
94,Day at the Museum of Death in Hollywood,20,20,41.65,40.0,35,55
95,Strip club crawl in the City of Industry,20,20,20.1,20.0,10,35
96,Adult-film studio tour in the San Fernando Valley,20,20,27.85,30.0,15,35
97,Charreada at Pico Rivera Sports Arena,20,20,54.0,56.5,35,65
98,Bullfight-watching day trip down to Tijuana,20,20,11.9,12.0,5,15
99,BKFC pay-per-view watch party with cigars and steaks,20,20,27.9,28.0,20,35
